品目,年度,国内生産量【1000トン】,外国貿易_輸入量【1000トン】,外国貿易_輸出量【1000トン】,在庫の増減量【1000トン】,国内消費仕向量【1000トン】,国内消費仕向量の内訳_飼料用【1000トン】,国内消費仕向量の内訳_種子用【1000トン】,国内消費仕向量の内訳_加工用【1000トン】,国内消費仕向量の内訳_純旅客用【1000トン】,国内消費仕向量の内訳_減耗量【1000トン】,国内消費仕向量の内訳_粗食料_総数【1000トン】,国内消費仕向量の内訳_粗食料_１人１年当たり【kg】,国内消費仕向量の内訳_粗食料_１人１日当たり【ｇ】,国内消費仕向量の内訳_歩留り【％】,国内消費仕向量の内訳_純食料【1000トン】,１人当たり供給純食料_１年当たり数量【kg】,１人当たり供給純食料_１日当たり_数量【ｇ】,１人当たり供給純食料_１日当たり_熱量【kcal】,１人当たり供給純食料_１日当たり_たんぱく質【ｇ】,１人当たり供給純食料_１日当たり_脂質【ｇ】,純食料100g中の栄養成分量_熱量【kcal】,純食料100g中の栄養成分量_たんぱく質【ｇ】,純食料100g中の栄養成分量_脂質【ｇ】
その他食料計,1965年度,"1,181",78,8,45,"1,206",745,0,285,-,3,173,1.8,4.8,90.2,156,1.6,4.3,9.7,0.7,0.4,222.7,16,9.9
その他食料計,1966年度,"1,328",55,9,-29,"1,403",936,0,275,-,4,188,1.9,5.2,89.9,169,1.7,4.7,11.4,0.7,0.6,244.1,15.3,12.2
その他食料計,1967年度,"1,383",50,11,5,"1,417",952,0,259,-,4,202,2,5.5,88.1,178,1.8,4.9,11.1,0.7,0.5,228.2,14.7,10.7
その他食料計,1968年度,"1,530",62,15,21,"1,556","1,074",0,262,-,5,215,2.1,5.8,87,187,1.8,5.1,11.1,0.7,0.5,220.4,14.2,10.7
その他食料計,1969年度,"1,670",72,14,-14,"1,742","1,281",0,250,-,5,205,2,5.5,86.8,178,1.7,4.8,10.5,0.7,0.5,220.1,14.9,10.3
その他食料計,1970年度,"2,069",123,17,29,"2,146","1,642",0,276,-,6,222,2.1,5.9,86.5,192,1.9,5.1,11,0.7,0.5,217.8,14.3,10.3
その他食料計,1971年度,"2,100",99,20,-9,"2,188","1,675",0,258,-,8,247,2.3,6.4,85.8,212,2,5.5,11.7,0.7,0.6,213.3,13.5,10.4
その他食料計,1972年度,"2,208",114,12,-32,"2,342","1,806",0,263,-,9,264,2.5,6.7,84.8,224,2.1,5.7,11.4,0.7,0.5,199.1,13.1,8.9
その他食料計,1973年度,"2,285",346,13,159,"2,459","1,894",0,279,-,10,276,2.5,6.9,84.4,233,2.1,5.9,12.1,0.8,0.6,206.3,13,9.4
その他食料計,1974年度,"2,276",172,41,-28,"2,435","1,871",0,279,-,10,275,2.5,6.8,82.9,228,2.1,5.6,9.4,0.7,0.4,166.2,12.7,6.9
その他食料計,1975年度,"2,207",69,66,-133,"2,343","1,806",0,243,-,11,283,2.5,6.9,83.7,237,2.1,5.8,9.9,0.7,0.4,170.9,12.5,7.1
その他食料計,1976年度,"2,289",255,13,18,"2,513","1,950",0,248,-,11,304,2.7,7.4,83.2,253,2.2,6.1,10.8,0.7,0.5,176.3,12,7.7
その他食料計,1977年度,"2,449",373,12,-1,"2,811","2,230",0,231,-,12,338,3,8.1,83.7,283,2.5,6.8,12.6,1,0.5,185.7,15.1,6.8
その他食料計,1978年度,"2,794",392,18,65,"3,103","2,483",0,251,-,13,356,3.1,8.5,84,299,2.6,7.1,12.2,1.1,0.4,170.9,14.8,5
その他食料計,1979年度,"2,905",332,19,-13,"3,231","2,606",0,254,-,14,357,3.1,8.4,83.5,298,2.6,7,11.6,1,0.4,165.8,14.6,5.2
その他食料計,1980年度,"2,961",375,22,-13,"3,327","2,695",0,249,-,15,368,3.1,8.6,83.2,306,2.6,7.2,11.8,1.1,0.4,165.4,15,5.1
その他食料計,1981年度,"3,001",287,26,91,"3,172","2,514",0,246,-,16,396,3.4,9.2,83.8,332,2.8,7.7,13.1,1.1,0.5,170.1,14.5,6
その他食料計,1982年度,"3,060",171,31,-81,"3,281","2,623",0,248,-,15,395,3.3,9.1,84.8,335,2.8,7.7,13.7,1.1,0.5,176.8,14.4,6.4
その他食料計,1983年度,"3,319",328,19,78,"3,550","2,871",0,246,-,15,418,3.5,9.6,84.7,354,3,8.1,14.2,1.1,0.5,175.1,14,6.3
その他食料計,1984年度,"3,217",200,27,-66,"3,456","2,748",0,249,-,16,443,3.7,10.1,83.7,371,3.1,8.4,13.8,1.1,0.5,163.9,13.4,5.9
その他食料計,1985年度,"3,336",224,24,-98,"3,634","2,920",0,258,-,15,441,3.6,10,88.4,390,3.2,8.8,14.7,1.1,0.5,166.4,13,5.8
その他食料計,1986年度,"3,371",331,26,55,"3,621","2,879",0,263,-,18,461,3.8,10.4,88.1,406,3.3,9.1,14.4,1,0.5,157.1,11.1,5.9
その他食料計,1987年度,"3,286",337,20,-45,"3,647","2,876",0,286,-,19,469,3.8,10.5,88.1,413,3.4,9.2,13.9,0.9,0.5,150.4,10,5.8
その他食料計,1988年度,"3,207",712,14,135,"3,770","2,971",0,288,-,19,492,4,11,87.4,430,3.5,9.6,14.4,1,0.6,150.5,10.1,6.1
その他食料計,1989年度,"3,105",593,12,-72,"3,758","2,921",0,287,-,20,532,4.3,11.8,88.3,470,3.8,10.5,16.4,1,0.6,157.1,9.7,6
その他食料計,1990年度,"3,190",806,13,9,"3,974","3,124",0,274,-,21,555,4.5,12.3,88.3,490,4,10.9,17,1,0.7,156.1,9.4,6
その他食料計,1991年度,"3,015",979,9,-29,"4,014","3,183",0,277,-,21,533,4.3,11.7,87.8,468,3.8,10.3,15.5,1,0.7,150.2,10.1,6.6
その他食料計,1992年度,"3,146","1,053",8,39,"4,152","3,286",0,286,-,20,560,4.5,12.3,87,487,3.9,10.7,15.1,1,0.7,140.7,9.7,6.1
その他食料計,1993年度,"3,294","1,100",7,56,"4,331","3,441",0,290,-,23,577,4.6,12.7,86.1,497,4,10.9,14.3,1,0.6,131.5,9.1,5.5
その他食料計,1994年度,"3,185","1,007",7,-122,"4,307","3,399",0,294,-,24,590,4.7,12.9,86.1,508,4.1,11.1,14.4,1,0.6,129.5,8.8,5.2
その他食料計,1995年度,"3,225","1,062",7,48,"4,232","3,324",0,274,-,24,610,4.9,13.3,85.9,524,4.2,11.4,14.8,1,0.7,130.2,8.7,5.8
その他食料計,1996年度,"3,207",961,8,-10,"4,170","3,255",0,266,-,24,625,5,13.6,86.4,540,4.3,11.8,16.5,1,0.8,140.4,8.7,6.6
その他食料計,1997年度,"3,266","1,024",3,34,"4,253","3,248",0,349,-,26,630,5,13.7,85.7,540,4.3,11.7,15.2,1,0.7,129.5,8.7,6.4
その他食料計,1998年度,"3,156","1,095",1,-42,"4,292","3,285",0,336,-,27,644,5.1,14,86.2,555,4.4,12,14.8,1,0.7,123.3,8.5,5.7
その他食料計,1999年度,"3,269","1,104",1,54,"4,318","3,299",0,337,-,27,655,5.2,14.1,86.1,564,4.5,12.2,15,1,0.7,123.6,8.2,5.9
その他食料計,2000年度,"3,211","1,003",1,-40,"4,253","3,207",0,353,-,26,667,5.3,14.4,85.9,573,4.5,12.4,15.9,1,0.8,128.9,8.2,6.1
その他食料計,2001年度,"3,328","1,094",1,57,"4,364","3,366",0,307,-,26,665,5.2,14.3,86.2,573,4.5,12.3,15.8,1,0.8,128.5,8.3,6.1
その他食料計,2002年度,"3,460","1,214",1,-68,"4,741","3,734",0,314,-,27,666,5.2,14.3,86.8,578,4.5,12.4,16.2,1,0.8,130.7,7.9,6.2
その他食料計,2003年度,"3,465","1,292",1,0,"4,756","3,560",0,490,-,28,678,5.3,14.5,86.9,589,4.6,12.6,17,1,0.9,135,7.8,7.3
その他食料計,2004年度,"3,037","1,435",2,5,"4,465","3,308",0,439,-,28,690,5.4,14.8,86.4,596,4.7,12.8,16.8,1,0.9,131.4,7.6,6.7
その他食料計,2005年度,"2,777","1,867",1,-21,"4,664","3,409",0,542,-,29,685,5.4,14.7,86.4,592,4.6,12.7,16.2,1,0.8,127.8,7.6,6.6
その他食料計,2006年度,"2,686","1,884",1,26,"4,543","3,401",0,425,-,29,688,5.4,14.7,86.5,595,4.7,12.7,16.8,1,0.9,132,7.5,7.2
その他食料計,2007年度,"2,733","1,941",1,-12,"4,685","3,465",0,487,-,30,703,5.5,15,86.8,610,4.8,13,17.4,1,1,133.9,7.4,7.5
その他食料計,2008年度,"2,589","1,847",0,14,"4,422","3,306",0,445,-,29,642,5,13.7,87.1,559,4.4,12,12.7,0.9,0.5,106.2,7.3,4.3
その他食料計,2009年度,"2,341","2,098",1,-20,"4,458","3,373",0,388,-,28,669,5.2,14.3,86.8,581,4.5,12.4,15,0.9,0.7,120.4,7.5,6
その他食料計,2010年度,"2,337","2,346",0,6,"4,677","3,505",0,489,-,28,655,5.1,14,88.5,580,4.5,12.4,13.2,0.9,0.5,106.1,7.2,4.3
その他食料計,2011年度,"2,058","2,365",0,-10,"4,433","3,313",0,431,-,27,662,5.2,14.1,88.8,588,4.6,12.6,13.7,0.9,0.6,109.2,7.2,4.8
その他食料計,2012年度,"1,926","2,271",0,0,"4,197","3,112",0,405,-,27,653,5.1,14,88.8,580,4.5,12.5,13.6,0.9,0.6,109.5,7.3,4.8
その他食料計,2013年度,"1,907","1,904",0,-5,"3,816","2,862",0,293,-,27,634,5,13.6,89,564,4.4,12.1,12.6,0.9,0.5,103.9,7.3,4.1
その他食料計,2014年度,"1,957","1,885",0,-15,"3,857","2,876",0,339,-,28,614,4.8,13.2,88.9,546,4.3,11.8,11.5,0.8,0.4,97.9,7.1,3.4
その他食料計,2015年度,"2,156","1,892",0,-15,"4,063","2,906",0,504,-,27,626,4.9,13.5,89.8,562,4.4,12.1,12.6,0.9,0.5,104.5,7.1,4
その他食料計,2016年度,"1,995","1,949",0,2,"3,942","3,066",0,194,-,28,654,5.1,14.1,89.8,587,4.6,12.7,15.2,0.9,0.7,119.8,6.8,5.7
その他食料計,2017年度,"2,296","1,711",0,-10,"4,017","2,986",0,361,-,27,643,5.1,13.9,89.7,577,4.5,12.5,14,0.8,0.6,112.4,6.8,5.1
その他食料計,2018年度,"2,282","1,809",1,14,"4,076","2,968",0,421,2,28,657,5.2,14.2,89.6,589,4.6,12.7,14.7,0.9,0.7,115.1,6.8,5.3
その他食料計,2019年度,"2,323","1,802",1,-6,"4,130","3,009",0,451,0,27,643,5.1,13.9,89.3,574,4.5,12.4,15.2,0.9,0.6,122.5,7,5
その他食料計,2020年度,"2,215","2,073",1,5,"4,282","3,104",0,504,0,26,648,5.1,14.1,89.4,579,4.6,12.6,15.4,0.9,0.6,122.8,6.9,4.5
その他食料計,2021年度,"2,310","1,866",1,2,"4,173","3,077",0,435,0,27,635,5.1,13.9,89.3,567,4.5,12.4,14.2,0.9,0.5,114.3,7.1,3.7
その他食料計,2022年度,"2,340","1,654",0,5,"3,989","3,067",0,259,0,26,638,5.1,14,89.3,570,4.6,12.5,14.7,0.9,0.5,117.5,6.9,4.2
その他食料計,2023年度,"2,228","1,879",0,8,"4,099","3,039",0,431,2,25,601,4.8,13.2,89.5,538,4.3,11.8,13.9,0.9,0.5,118,7.3,4.1
